fips,year,laborfc,employed,unemplvl,unemprate
17061,2015,6050,5681,369,6.1
17063,2015,25461,23689,1772,7
17065,2015,4379,4140,239,5.5
17067,2015,8917,8369,548,6.1
17069,2015,1529,1400,129,8.4
17071,2015,3751,3527,224,6
17073,2015,25203,23669,1534,6.1
17075,2015,14758,13925,833,5.6
17077,2015,28644,27060,1584,5.5
17079,2015,4642,4354,288,6.2
17081,2015,17180,16027,1153,6.7
17083,2015,11082,10384,698,6.3
17085,2015,11456,10833,623,5.4
17087,2015,4135,3784,351,8.5
17089,2015,268299,252962,15337,5.7
17091,2015,54269,50568,3701,6.8
17093,2015,66208,62761,3447,5.2
17095,2015,23216,21810,1406,6.1
17097,2015,366809,347139,19670,5.4
17099,2015,57429,53449,3980,6.9
17101,2015,6146,5712,434,7.1
17103,2015,17855,16907,948,5.3
17105,2015,17266,16342,924,5.4
17107,2015,12991,12291,700,5.4
17109,2015,14077,13225,852,6.1
17111,2015,165762,156757,9005,5.4
17113,2015,91296,86960,4336,4.7
17115,2015,50862,47341,3521,6.9
17117,2015,23062,21612,1450,6.3
17119,2015,133073,125128,7945,6
17121,2015,18100,16884,1216,6.7
17123,2015,5708,5332,376,6.6
17125,2015,6611,6142,469,7.1
17127,2015,6081,5640,441,7.3
17129,2015,6616,6301,315,4.8
17131,2015,8233,7722,511,6.2
17133,2015,18106,17318,788,4.4
17135,2015,12020,11114,906,7.5
17137,2015,16938,16093,845,5
17139,2015,7377,7058,319,4.3
17141,2015,25913,24325,1588,6.1
17143,2015,89959,83822,6137,6.8
17145,2015,8860,8232,628,7.1
17147,2015,8546,8128,418,4.9
17149,2015,7618,7226,392,5.1
17151,2015,1766,1643,123,7
17153,2015,2090,1906,184,8.800000000000001
17155,2015,3042,2856,186,6.1
17157,2015,14311,13539,772,5.4
17159,2015,7467,7032,435,5.8
17161,2015,72613,68011,4602,6.3
17163,2015,126230,117968,8262,6.5
17165,2015,10352,9555,797,7.7
17167,2015,103431,97990,5441,5.3
17169,2015,3483,3281,202,5.8
17171,2015,2553,2403,150,5.9
17173,2015,10247,9648,599,5.8
17175,2015,2763,2580,183,6.6
17177,2015,21547,20132,1415,6.6
17179,2015,66829,62661,4168,6.2
17181,2015,7357,6795,562,7.6
17183,2015,35349,32854,2495,7.1
17185,2015,5625,5309,316,5.6
17187,2015,8569,8125,444,5.2
17189,2015,9360,9008,352,3.8
17191,2015,7504,6990,514,6.8
17193,2015,6932,6537,395,5.7
17195,2015,28529,26774,1755,6.2
17197,2015,356715,334626,22089,6.2
17199,2015,31940,29977,1963,6.1
17201,2015,142004,132098,9906,7
